Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,646,20,T:System.Windows.Forms.MessageBoxButtons,,,,,"MessageBox.Show($""Error loading file:\n{ex.Message}"", ""Error"", MessageBoxButtons.OK, MessageBoxIcon.Error);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,646,20,T:System.Windows.Forms.MessageBoxButtons,,,,,"MessageBox.Show($""Error loading file:\n{ex.Message}"", ""Error"", MessageBoxButtons.OK, MessageBoxIcon.Error);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,646,20,F:System.Windows.Forms.MessageBoxButtons.OK,,,,,"MessageBox.Show($""Error loading file:\n{ex.Message}"", ""Error"", MessageBoxButtons.OK, MessageBoxIcon.Error);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,646,20,T:System.Windows.Forms.MessageBox,,,,,"MessageBox.Show($""Error loading file:\n{ex.Message}"", ""Error"", MessageBoxButtons.OK, MessageBoxIcon.Error);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,646,20,T:System.Windows.Forms.DialogResult,,,,,"MessageBox.Show($""Error loading file:\n{ex.Message}"", ""Error"", MessageBoxButtons.OK, MessageBoxIcon.Error);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,646,20,"M:System.Windows.Forms.MessageBox.Show(System.String,System.String,System.Windows.Forms.MessageBoxButtons,System.Windows.Forms.MessageBoxIcon)",,,,,"MessageBox.Show($""Error loading file:\n{ex.Message}"", ""Error"", MessageBoxButtons.OK, MessageBoxIcon.Error);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,642,20,T:System.Windows.Forms.TabControl,,,,,tabControl.Visible = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,642,20,P:System.Windows.Forms.Control.Visible,,,,,tabControl.Visible = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,641,20,T:System.Windows.Forms.TextBox,,,,,txtSplash.Visible = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,641,20,P:System.Windows.Forms.Control.Visible,,,,,txtSplash.Visible = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,636,20,P:System.Windows.Forms.FileDialog.FileName,,,,,currentFilePath = openFileDialog.FileName;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,635,20,P:System.Windows.Forms.FileDialog.FileName,,,,,creature = XmlHelper.LoadFromFile(openFileDialog.FileName);
